NAC,USA,ECS,SAS,EAS,LCN,SSF,MEA,WLD,year
5419136.604,4955081.421,10351944.1095658,660778.732,4730127.29421519,1051772.91389776,481338.572634062,910943.95681517,23072852.3669505,1989
3083748.982,2890696.1,4583645.9223339,151649.509547476,1215379.54273003,302453.875673366,126045.06644797,98736.848868581,9213447.53248784,1960
5766676.529,5225412.661,6280567.76905297,2525679.253,14131065.7783637,1890997.74031123,867107.577690299,2630361.102,34103192.8807259,2014
5012888.009,4613100.668,9149597.23888597,297283.69,2786338.20767092,717444.240323438,316190.302954432,544049.126929467,18089266.7287467,1976
4946342.96,4564952.958,8092946.92427185,245637.662,2332124.31788211,578575.780509223,274481.834512935,389541.97916384,16238823.3902386,1972
5259086.722,4823403.118,9750683.10344141,709443.489,4778302.82856771,1010932.31435496,438428.227548207,896907.863,22421693.5772915,1990
4135118.219,3831354.94,6648511.94677358,241537.616575278,1406173.15997493,438713.568751334,188959.308472042,260706.494615603,12741086.0799622,1968
5551735.324,5094354.081,6835341.53298609,876152.643000001,5786202.70181498,1117573.27245591,466571.820162242,1228507.339,21853093.137788,1994
4721955.563,4306748.487,9564051.18612938,402746.61,3365944.94682941,906673.964369279,426316.436596554,631033.266895967,19291681.2898832,1982
5690058.231,5170359.99,6508718.05195837,2307899.79,14166073.9892175,1865757.19546326,806537.522307515,2492353.557,33848272.7990641,2013
3643256.175,3390922.571,5899808.27621453,209773.142722683,1161231.03286611,365112.652323843,174297.453428916,184506.361874252,11100889.8088247,1965
4900938.166,4495463.308,10172360.313573,526174.163,4033146.56794963,923999.489829202,482536.728298096,814434.800256002,21154325.0343763,1986
6351735.378,5789727.291,6879559.03194682,1416210.068,9362921.04986078,1525959.79569959,666453.952778822,1834094.054,28043870.8847369,2005
5150899.221,4742292.745,9304210.0930061,314921.96,2989718.71106742,738677.779044998,318809.873101886,572804.032512114,18675683.2483335,1977
5551808.664,5006302.077,6269012.20782758,2736913.121,13955922.0176925,1836828.16712436,853107.127983807,2608736.803,33819401.1605443,2016
5600088.386,5081999.958,6661329.71146263,2286205.818,13991440.0924722,1828721.41436417,791616.76848885,2513149.114,33683606.8460307,2012
5248166.396,4820847.219,9575918.29847798,749285.444,4981028.04347833,1029630.67660321,453753.322182437,1003859.585,22706192.9205122,1991
3074863.841,2880505.507,4740275.55815682,162628.82549237,1052154.2638414,309480.935274057,131835.094743418,104969.846466129,9174599.22452308,1961
6124249.366,5595794.329,6652964.74529849,1197433.181,6667667.36662216,1389105.20210276,576070.309748416,1497085.753,24101535.2795744,2001
4751016.538,4341878.347,9580896.62066794,435192.226,3472702.928727,864902.885478471,433118.38862716,673864.642086661,19504737.9883434,1983
5349225.249,4892526.068,10326803.3334444,606881.166,4580927.30116565,993454.190281966,505737.040612552,881664.165925105,22673248.5966448,1988
4670617.563,4328904.501,7417351.5904389,249322.883025182,2026255.7116702,526829.963007761,226183.302379754,321916.196619204,14868220.2892145,1970
5152241.343,4770194.948,8478051.39041941,254691.485,2487149.54115717,631788.033463146,291665.321644957,459854.5871982,17116849.9537957,1973
6310015.919,5756075.232,6875921.21187968,1340464.516,8690370.18267063,1449822.77410077,687638.371138711,1748161.576,27106644.1345339,2004
5601089.477,5132919.92,6787753.20992648,927259.622,6138581.68300955,1139919.00632106,497193.337857916,1186410.179,22270728.5576472,1995
6228582.85,5693684.894,6569031.59606359,1180858.341,6542447.08346678,1357473.55784561,568106.715918965,1473950.65,23918172.1874217,2000
4901231.526,4475192.132,9609890.51130566,447627.023,3714611.38745011,879451.860563935,464739.279412765,721467.701890254,20090639.7578988,1984
5120294.439,4688373.177,10236642.5766892,562132.765,4231281.42951836,970270.36684698,475076.162750304,825717.999102192,21773897.267676,1987
5344326.137,4901796.244,9840355.58673174,338423.763,3283019.78657868,848920.972197073,365586.31674343,635423.216739833,19918489.0820914,1979
4988902.162,4598487.673,8558011.47761472,263356.606,2512486.3580134,666011.063882908,309574.399939981,466769.859360277,17098937.4829466,1974
6176551.787,5614110.994,6965499.49830496,1798175.789,11205668.3163368,1681479.25527473,757644.691790083,2086633.01,30680656.0213261,2008
3194551.054,2987207.873,5004792.40043841,179024.457285831,965466.774939282,328716.022147133,136458.613307018,114649.713759848,9475006.61387524,1962
6020572.275,5504669.379,6518851.18714574,1135321.535,6306433.42560285,1364351.4586089,523431.361786007,1353669.383,23218433.4714023,1999
6229363.921,5675701.926,6832819.90439726,1269654.746,7877680.09757722,1440414.04405228,626728.540510102,1616164.244,25893535.0331455,2003
6361606.942,5789030.561,6985332.2910344,1629457.119,10281497.767678,1593209.14033806,724727.763506654,1928724.656,29513157.3946511,2007
4709608.774,4356770.034,7731985.45803479,257320.724,2214288.12736923,552473.973838882,260337.237807625,362299.33055082,15492671.3192907,1971
5793265.946,5270047.385,6686151.95713463,2106042.441,13629697.1391833,1754657.43969454,807425.483343224,2302443.294,33090763.411553,2011
5166880.007,4723209.677,9902631.68278575,359501.679,3277733.79365992,891883.064653332,378371.605133561,644621.556462849,19856785.4976881,1980
