year,NAC,USA,ECS,SAS,EAS,LCN,SSF,MEA,WLD
1960,3.08,2.89,4.58,0.15,1.22,0.30,0.13,0.10,9.21
1961,3.07,2.88,4.74,0.16,1.05,0.31,0.13,0.10,9.17
1962,3.19,2.99,5.00,0.18,0.97,0.33,0.14,0.11,9.48
1963,3.33,3.12,5.36,0.19,1.01,0.33,0.14,0.13,10.00
1964,3.49,3.26,5.64,0.19,1.07,0.35,0.16,0.15,10.53
1965,3.64,3.39,5.90,0.21,1.16,0.37,0.17,0.18,11.10
1966,3.82,3.56,6.16,0.22,1.25,0.38,0.18,0.21,11.67
1967,3.98,3.70,6.37,0.22,1.27,0.41,0.18,0.23,12.08
1968,4.14,3.83,6.65,0.24,1.41,0.44,0.19,0.26,12.74
1969,4.33,4.02,6.99,0.24,1.64,0.48,0.21,0.30,13.61
1970,4.67,4.33,7.42,0.25,2.03,0.53,0.23,0.32,14.87
1971,4.71,4.36,7.73,0.26,2.21,0.55,0.26,0.36,15.49
1972,4.95,4.56,8.09,0.25,2.33,0.58,0.27,0.39,16.24
1973,5.15,4.77,8.48,0.25,2.49,0.63,0.29,0.46,17.12
1974,4.99,4.60,8.56,0.26,2.51,0.67,0.31,0.47,17.10
1975,4.80,4.41,8.70,0.29,2.65,0.67,0.30,0.46,17.18
1976,5.01,4.61,9.15,0.30,2.79,0.72,0.32,0.54,18.09
1977,5.15,4.74,9.30,0.31,2.99,0.74,0.32,0.57,18.68
1978,5.31,4.89,9.61,0.32,3.16,0.79,0.32,0.60,19.39
1979,5.34,4.90,9.84,0.34,3.28,0.85,0.37,0.64,19.92
1980,5.17,4.72,9.90,0.36,3.28,0.89,0.38,0.64,19.86
1981,4.97,4.54,9.56,0.39,3.25,0.88,0.40,0.63,19.35
1982,4.72,4.31,9.56,0.40,3.37,0.91,0.43,0.63,19.29
1983,4.75,4.34,9.58,0.44,3.47,0.86,0.43,0.67,19.50
1984,4.90,4.48,9.61,0.45,3.71,0.88,0.46,0.72,20.09
1985,4.92,4.49,10.14,0.49,3.89,0.91,0.48,0.76,20.86
1986,4.90,4.50,10.17,0.53,4.03,0.92,0.48,0.81,21.15
1987,5.12,4.69,10.24,0.56,4.23,0.97,0.48,0.83,21.77
1988,5.35,4.89,10.33,0.61,4.58,0.99,0.51,0.88,22.67
1989,5.42,4.96,10.35,0.66,4.73,1.05,0.48,0.91,23.07
1990,5.26,4.82,9.75,0.71,4.78,1.01,0.44,0.90,22.42
1991,5.25,4.82,9.58,0.75,4.98,1.03,0.45,1.00,22.71
1992,5.35,4.91,7.66,0.80,5.20,1.04,0.44,1.07,21.54
1993,5.47,5.03,7.29,0.83,5.49,1.08,0.46,1.17,21.78
1994,5.55,5.09,6.84,0.88,5.79,1.12,0.47,1.23,21.85
1995,5.60,5.13,6.79,0.93,6.14,1.14,0.50,1.19,22.27
1996,5.73,5.25,6.83,1.01,6.42,1.20,0.51,1.21,22.90
1997,5.86,5.37,6.58,1.05,6.52,1.26,0.53,1.19,22.99
1998,5.91,5.40,6.56,1.07,6.18,1.34,0.52,1.27,22.85
1999,6.02,5.50,6.52,1.14,6.31,1.36,0.52,1.35,23.22
2000,6.23,5.69,6.57,1.18,6.54,1.36,0.57,1.47,23.92
2001,6.12,5.60,6.65,1.20,6.67,1.39,0.58,1.50,24.10
2002,6.16,5.64,6.64,1.22,7.12,1.41,0.57,1.52,24.63
2003,6.23,5.68,6.83,1.27,7.88,1.44,0.63,1.62,25.89
2004,6.31,5.76,6.88,1.34,8.69,1.45,0.69,1.75,27.11
2005,6.35,5.79,6.88,1.42,9.36,1.53,0.67,1.83,28.04
2006,6.27,5.70,7.02,1.51,10.01,1.57,0.70,1.94,29.02
2007,6.36,5.79,6.99,1.63,10.28,1.59,0.72,1.93,29.51
2008,6.18,5.61,6.97,1.80,11.21,1.68,0.76,2.09,30.68
2009,5.80,5.26,6.40,1.98,11.16,1.65,0.75,2.18,29.92
2010,5.92,5.40,6.70,1.98,12.55,1.73,0.77,2.27,31.93
2011,5.79,5.27,6.69,2.11,13.63,1.75,0.81,2.30,33.09
2012,5.60,5.08,6.66,2.29,13.99,1.83,0.79,2.51,33.68
2013,5.69,5.17,6.51,2.31,14.17,1.87,0.81,2.49,33.85
2014,5.77,5.23,6.28,2.53,14.13,1.89,0.87,2.63,34.10
2015,5.68,5.13,6.22,2.65,14.13,1.87,0.83,2.65,34.04
2016,5.55,5.01,6.27,2.74,13.96,1.84,0.85,2.61,33.82
